City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,happy valley-goose bay,53.3168,-60.3315,75.51,57,20,8.05,CA,1722708376
130,labrador city,52.9463,-66.9114,64.31,94,75,5.75,CA,1722708377
131,kasimov,54.9411,41.3953,62.87,85,89,6.35,RU,1722708378
132,sho'rchi,38.0141,67.7899,90.19,19,0,3.85,UZ,1722708379
133,lazaro cardenas,17.9583,-102.2,83.19,68,100,4.43,MX,1722708380
134,taksimo,56.3444,114.8794,63.81,83,100,2.57,RU,1722708382
135,taulaga,-11.0553,-171.0883,81.19,70,100,9.95,AS,1722708383
136,gamonal,39.9607,-4.9618,98.42,15,1,3.4,ES,1722708384
137,viedma,-40.8135,-62.9967,61.57,24,1,25.23,AR,1722708385
138,cerkes,40.8116,32.8936,66.99,44,0,3.96,TR,1722708386
139,praia da vitoria,38.7333,-27.0667,80.76,73,40,0.94,PT,1722708387
140,kavaratti,10.5669,72.642,81.03,84,100,9.35,IN,1722708389
141,bamboo flat,11.7,92.7167,78.89,94,100,2.3,IN,1722708390
142,yorkton,51.2167,-102.4677,66.04,68,75,11.5,CA,1722708391
143,usogorsk,63.4106,48.6872,61.83,88,83,7.34,RU,1722708392
144,miles city,46.4083,-105.8406,88.77,30,0,5.75,US,1722708394
145,bilibino,68.0546,166.4372,41.14,78,95,2.86,RU,1722708395
146,northam,51.0333,-4.2167,63.61,76,92,10.74,GB,1722708396
147,loen,7.7601,168.2307,83.21,76,16,8.01,MH,1722708397
148,illizi,26.4833,8.4667,105.6,9,0,11.95,DZ,1722708398
149,longquan,24.6719,102.1613,66.27,93,99,2.93,CN,1722708400
150,azemmour,33.2895,-8.3425,75.54,70,0,15.75,MA,1722708401
151,isangel,-19.55,169.2667,67.95,71,87,10.33,VU,1722708402
152,aykhal,66.0,111.5,57.43,65,79,6.62,RU,1722708403
153,aasiaat,68.7098,-52.8699,41.36,79,6,8.5,GL,1722708404
154,coquimbo,-29.9533,-71.3436,64.98,67,0,10.36,CL,1722708406
155,acarau,-2.8856,-40.12,84.69,59,24,21.74,BR,1722708407
156,san antonio de pale,-1.4014,5.6325,73.2,73,100,11.32,GQ,1722708408
157,botro,7.8525,-5.3106,77.85,80,94,4.79,CI,1722708409
158,alotau,-10.3069,150.4462,71.91,93,100,5.41,PG,1722708410
159,fort st. john,56.2499,-120.8529,68.49,44,68,4.79,CA,1722708411
160,pinhao,-25.6956,-51.6597,74.5,45,0,8.55,BR,1722708413
161,agat village,13.3886,144.6585,76.14,96,100,0.0,GU,1722708414
162,sulak,43.2734,47.5146,77.99,70,0,11.27,RU,1722708415
163,kirakira,-10.4544,161.9205,77.81,89,50,7.36,SB,1722708416
164,masterton,-40.9597,175.6575,33.1,94,3,3.87,NZ,1722708417
165,kenai,60.5544,-151.2583,56.01,85,100,14.97,US,1722708419
166,iskateley,67.6803,53.1512,51.51,77,14,18.05,RU,1722708420
167,inirida,3.8653,-67.9239,92.95,49,74,0.51,CO,1722708421
168,bayganin,48.6947,55.8742,74.89,34,44,5.14,KZ,1722708422
169,gandorhun,7.5,-11.8333,76.35,92,92,6.85,SL,1722708423
170,andkhoy,36.9529,65.1238,87.04,16,0,11.83,AF,1722708425
171,carutapera,-1.195,-46.02,87.04,57,6,13.2,BR,1722708426
172,tarrafal de sao nicolau,16.5667,-24.3667,77.86,73,98,4.0,CV,1722708427
173,bardai,11.65,7.2333,71.83,89,94,7.83,NG,1722708428
174,uglich,57.5275,38.3317,60.33,91,13,5.21,RU,1722708429
175,nuku'alofa,-21.1333,-175.2,75.54,88,100,11.5,TO,1722708431
176,remire-montjoly,4.9167,-52.2667,86.04,70,75,4.61,GF,1722708432
177,la passe,45.5549,-0.8967,75.43,69,82,10.09,FR,1722708433
178,minas de marcona,-15.2119,-75.1103,65.86,47,19,12.35,PE,1722708434
179,biloela,-24.4167,150.5,49.53,89,0,3.76,AU,1722708435
180,hilo,19.7297,-155.09,75.61,99,100,3.44,US,1722708437
181,bugul'ma,54.55,52.8,57.78,85,65,6.42,RU,1722708438
182,saldanha,-33.0117,17.9442,53.53,81,47,7.76,ZA,1722708439
183,guarne,6.2805,-75.4435,67.91,61,80,8.01,CO,1722708440
184,umm kaddadah,13.6017,26.6876,89.15,43,100,3.89,SD,1722708441
185,jayapura,-2.5333,140.7,78.19,94,87,5.1,ID,1722708443
186,san jose,37.3394,-121.895,85.28,55,20,6.91,US,1722708443
187,carapegua,-25.8,-57.2333,93.94,23,0,12.26,PY,1722708445
188,olinda,-8.0089,-34.8553,82.13,61,40,19.57,BR,1722708412
189,papao,-17.75,-149.55,73.08,67,18,9.86,PF,1722708447
190,machico,32.7,-16.7667,81.72,73,20,20.71,PT,1722708448
191,tsengel,49.4783,100.8894,57.63,79,33,1.03,MN,1722708450
192,mesquite,32.7668,-96.5992,99.52,37,0,6.91,US,1722708451
193,amal,59.051,12.7049,66.67,67,100,10.58,SE,1722708452
194,gebre guracha,9.8,38.4,54.19,92,100,1.41,ET,1722708453
195,suhbaatar,50.2314,106.2078,59.76,92,17,3.58,MN,1722708454
196,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,0,6.71,RU,1722708456
197,sumbawa besar,-8.5,117.4333,70.56,97,67,2.98,ID,1722708457
198,hammerfest,70.6634,23.6821,66.65,59,23,12.66,NO,1722708458
199,wynyard,-41.0,145.7167,46.0,89,32,7.7,AU,1722708459
200,hoemul-li,41.4339,129.67,70.95,99,100,4.92,KP,1722708461
201,gogrial,8.5332,28.1004,79.25,64,79,1.83,SS,1722708462
202,ban nam yuen,9.8769,98.8659,75.51,98,100,2.57,TH,1722708463
203,invercargill,-46.4,168.35,36.01,93,99,3.0,NZ,1722708464
204,tsiombe,-25.3,45.4833,63.72,82,0,3.15,MG,1722708466
205,kourou,5.1552,-52.6478,86.05,64,37,8.32,GF,1722708468
206,broken hill,-31.95,141.4333,53.42,40,100,6.89,AU,1722708469
207,fale old settlement,-9.3852,-171.2468,82.8,76,100,15.01,TK,1722708470
208,port saint john's,-31.6229,29.5448,66.88,69,26,9.6,ZA,1722708472
209,port isabel,26.0734,-97.2086,94.06,69,0,10.36,US,1722708474
210,ulsteinvik,62.3432,5.8487,65.32,80,100,2.3,NO,1722708475
211,selfoss,63.9331,-20.9971,54.36,71,77,20.45,IS,1722708476
212,nurota,40.5614,65.6886,81.34,19,0,10.51,UZ,1722708478
213,udachny,66.4167,112.4,56.44,71,68,6.76,RU,1722708480
214,shenjiamen,29.9576,122.298,81.07,94,3,7.9,CN,1722708481
215,arraial do cabo,-22.9661,-42.0278,75.06,73,40,9.22,BR,1722708482
216,namibe,-15.1961,12.1522,63.09,80,28,12.68,AO,1722708483
217,dudinka,69.4058,86.1778,55.26,71,11,11.81,RU,1722708484
218,port moresby,-9.4431,147.1797,71.22,86,39,10.2,PG,1722708486
219,kapuskasing,49.4169,-82.4331,77.9,35,12,11.12,CA,1722708487
220,avarua,-21.2078,-159.775,66.25,82,100,1.14,CK,1722708489
221,ryotsu-minato,38.0833,138.4333,77.5,87,0,1.59,JP,1722708491
222,semporna,4.4818,118.6112,78.12,84,62,3.2,MY,1722708492
223,nantucket,41.2835,-70.0995,84.15,84,20,19.57,US,1722708320
224,east ballina,-28.8667,153.5833,48.79,92,13,9.6,AU,1722708494
225,saynshand,44.8824,110.1163,70.32,55,86,6.13,MN,1722708495
226,aldinga beach,-35.2793,138.4604,51.76,82,100,7.87,AU,1722708496
227,quang ngai,15.1167,108.8,74.21,87,74,5.39,VN,1722708498
